     time (s)       traj1:dt1e-7     traj2:dt1e-7     traj3:dt1e-8    traj4:dt1e-8
   1.3600000e-04   4.6942251e+02   4.7673353e+02   4.8178931e+02   4.7851282e+02
   1.3800000e-04   4.6844046e+02   4.7673353e+02   4.8178931e+02   4.7658333e+02
   1.4000000e-04   4.6844046e+02   4.7493114e+02   4.8084277e+02   4.7561859e+02
   1.4200000e-04   4.6844046e+02   4.7312874e+02   4.7894969e+02   4.7561859e+02
   1.4400000e-04   4.6844046e+02   4.7042515e+02   4.7800314e+02   4.7465385e+02
   1.4600000e-04   4.6745840e+02   4.6862275e+02   4.7421698e+02   4.7465385e+02
   1.4800000e-04   4.6745840e+02   4.6862275e+02   4.7327044e+02   4.7272436e+02
   1.5000000e-04   4.6745840e+02   4.6862275e+02   4.7232390e+02   4.7272436e+02
   1.5200000e-04   4.6745840e+02   4.6772156e+02   4.7232390e+02   4.7272436e+02
   1.5400000e-04   4.6549429e+02   4.6411677e+02   4.7137736e+02   4.6886538e+02
   1.5600000e-04   4.6451223e+02   4.6231437e+02   4.6853774e+02   4.6886538e+02
   1.5800000e-04   4.6156607e+02   4.6141317e+02   4.6759119e+02   4.6886538e+02
   1.6000000e-04   4.6058401e+02   4.6051198e+02   4.6569811e+02   4.6693590e+02
   1.6200000e-04   4.5861990e+02   4.5961078e+02   4.6191195e+02   4.6597115e+02
   1.6400000e-04   4.5861990e+02   4.5690719e+02   4.6096541e+02   4.6307692e+02
   1.6600000e-04   4.5665579e+02   4.5510479e+02   4.5907233e+02   4.6307692e+02
   1.6800000e-04   4.5665579e+02   4.5240120e+02   4.5717925e+02   4.6307692e+02
   1.7000000e-04   4.5567374e+02   4.5059880e+02   4.5717925e+02   4.6211218e+02
   1.7200000e-04   4.5370962e+02   4.4969760e+02   4.5528616e+02   4.6211218e+02
   1.7400000e-04   4.5370962e+02   4.4879641e+02   4.5339308e+02   4.6211218e+02
   1.7600000e-04   4.5272757e+02   4.4789521e+02   4.5339308e+02   4.6211218e+02
   1.7800000e-04   4.5076346e+02   4.4338922e+02   4.5150000e+02   4.6211218e+02
   1.8000000e-04   4.4978140e+02   4.4158683e+02   4.5055346e+02   4.6211218e+02
   1.8200000e-04   4.4978140e+02   4.4158683e+02   4.4960692e+02   4.6018269e+02
   1.8400000e-04   4.4978140e+02   4.3888323e+02   4.4866038e+02   4.5825321e+02
   1.8600000e-04   4.4781729e+02   4.3798204e+02   4.4582075e+02   4.5728846e+02
   1.8800000e-04   4.4487113e+02   4.3617964e+02   4.4298113e+02   4.5728846e+02
   1.9000000e-04   4.4290701e+02   4.3437725e+02   4.4108805e+02   4.5632372e+02
   1.9200000e-04   4.3996085e+02   4.3347605e+02   4.3919497e+02   4.5632372e+02
   1.9400000e-04   4.3897879e+02   4.3257485e+02   4.3919497e+02   4.5439423e+02
   1.9600000e-04   4.3897879e+02   4.3257485e+02   4.3919497e+02   4.5246474e+02
   1.9800000e-04   4.3603263e+02   4.3167365e+02   4.3824843e+02   4.5246474e+02
   2.0000000e-04   4.3505057e+02   4.3167365e+02   4.3824843e+02   4.5246474e+02
   2.0200000e-04   4.3406852e+02   4.3077246e+02   4.3730189e+02   4.5150000e+02
   2.0400000e-04   4.3308646e+02   4.2987126e+02   4.3730189e+02   4.5053526e+02
   2.0600000e-04   4.3308646e+02   4.2806886e+02   4.3540881e+02   4.4764103e+02
   2.0800000e-04   4.3308646e+02   4.2626647e+02   4.3351572e+02   4.4378205e+02
   2.1000000e-04   4.3112235e+02   4.2446407e+02   4.3256918e+02   4.4185256e+02
   2.1200000e-04   4.3014029e+02   4.2266168e+02   4.3162264e+02   4.4185256e+02
   2.1400000e-04   4.2915824e+02   4.2085928e+02   4.2972956e+02   4.4185256e+02
   2.1600000e-04   4.2719413e+02   4.1995808e+02   4.2878302e+02   4.4088782e+02
   2.1800000e-04   4.2621207e+02   4.1635329e+02   4.2878302e+02   4.3992308e+02
   2.2000000e-04   4.2621207e+02   4.1455090e+02   4.2878302e+02   4.3992308e+02
   2.2200000e-04   4.2621207e+02   4.1274850e+02   4.2783648e+02   4.3992308e+02
   2.2400000e-04   4.2621207e+02   4.1184731e+02   4.2783648e+02   4.3799359e+02
   2.2600000e-04   4.2621207e+02   4.1184731e+02   4.2783648e+02   4.3413462e+02
   2.2800000e-04   4.2130179e+02   4.1184731e+02   4.2594340e+02   4.3413462e+02
   2.3000000e-04   4.2031974e+02   4.1004491e+02   4.2215723e+02   4.3316987e+02
   2.3200000e-04   4.1933768e+02   4.0914371e+02   4.2215723e+02   4.3316987e+02
   2.3400000e-04   4.1639152e+02   4.0824251e+02   4.2026415e+02   4.3220513e+02
   2.3600000e-04   4.1639152e+02   4.0553892e+02   4.1837107e+02   4.2931090e+02
   2.3800000e-04   4.1442741e+02   4.0463772e+02   4.1837107e+02   4.2931090e+02
   2.4000000e-04   4.1442741e+02   4.0373653e+02   4.1837107e+02   4.2834615e+02
   2.4200000e-04   4.1442741e+02   4.0283533e+02   4.1742453e+02   4.2834615e+02
   2.4400000e-04   4.1540946e+02   4.0193413e+02   4.1647799e+02   4.2641667e+02
   2.4600000e-04   4.1540946e+02   4.0103293e+02   4.1458491e+02   4.2641667e+02
