0	300
1e-07	300
1.18382e-07	300
1.40143e-07	300
1.65904e-07	300
1.964e-07	300
2.32503e-07	300
2.75241e-07	300
3.25836e-07	300
3.85731e-07	300
4.56636e-07	300
5.40574e-07	300
6.39942e-07	300
7.57576e-07	300
8.96834e-07	300
1.06169e-06	300
1.25685e-06	300
1.48788e-06	300
1.76138e-06	300
2.08516e-06	300
2.46845e-06	300
2.9222e-06	300
3.45936e-06	300
4.09526e-06	300
4.84805e-06	300
5.73922e-06	300
6.7942e-06	300
8.04311e-06	300
9.52159e-06	300
1.12718e-05	300
1.33438e-05	300
1.57967e-05	300
1.87004e-05	300
2.21379e-05	300
2.62073e-05	300
3.10247e-05	299.996
3.67277e-05	299.972
4.3479e-05	299.958
5.14712e-05	299.958
6.09327e-05	299.958
7.21333e-05	299.958
8.53928e-05	299.958
0.00010109	299.958
0.000119672	299.958
0.00014167	299.958
0.000167712	299.958
0.00019854	299.917
0.000235036	299.875
0.00027824	299.875
0.000329386	299.875
0.000389934	299.875
0.000461611	299.875
0.000546465	299.833
0.000646916	299.833
0.000765831	299.792
0.000906606	299.792
0.00107326	299.792
0.00127054	299.75
0.0015041	299.75
0.00178058	299.708
0.00210788	299.708
0.00249535	299.603
0.00295405	299.417
0.00349706	299.333
0.00413989	298.958
0.00490088	298.583
0.00580176	298.333
0.00686823	298.083
0.00813075	297.75
0.00962534	297.125
0.0113947	296.542
0.0134892	295.792
0.0159688	295.208
0.0189042	294.458
0.0223792	293.5
0.0264929	292.792
0.0313628	290.875
0.0371279	288.792
0.0439527	286.375
0.0520321	283.958
0.0615966	281.083
0.0729193	278.125
0.0863233	274.5
0.102191	270.292
0.120976	265.667
0.143214	259.958
0.169539	252.958
0.200704	245.458
0.237597	237.292
0.281272	228.125
0.332976	216.917
0.394183	205.667
0.466642	194.125
0.552419	181.292
0.653965	167.708
0.774177	153.875
0.916485	137.917
1.08495	123.125
1.28439	109.583
1.52049	95.9167
1.79998	NaN
