   time(s)         CopyNums
   2.2217408e-06   9.8801132e+02
   2.3266629e-06   9.8754701e+02
   2.4365400e-06   9.8706252e+02
   2.5516061e-06   9.8655708e+02
   2.6721062e-06   9.8602987e+02
   2.7982969e-06   9.8548007e+02
   2.9304470e-06   9.8490685e+02
   3.0688379e-06   9.8430933e+02
   3.2137643e-06   9.8368664e+02
   3.3655350e-06   9.8303789e+02
   3.5244730e-06   9.8236216e+02
   3.6909169e-06   9.8165854e+02
   3.8652212e-06   9.8092610e+02
   4.0477570e-06   9.8016391e+02
   4.2389131e-06   9.7937102e+02
   4.4390965e-06   9.7854651e+02
   4.6487337e-06   9.7768943e+02
   4.8682710e-06   9.7679887e+02
   5.0981761e-06   9.7585511e+02
   5.3389384e-06   9.7487965e+02
   5.5910708e-06   9.7387304e+02
   5.8551102e-06   9.7283525e+02
   6.1316188e-06   9.7176638e+02
   6.4211857e-06   9.7066671e+02
   6.7244274e-06   9.6953669e+02
   7.0419898e-06   9.6837696e+02
   7.3745491e-06   9.6718841e+02
   7.7228136e-06   9.6597218e+02
   8.0875249e-06   9.6472973e+02
   8.4694598e-06   9.6346283e+02
   8.8694317e-06   9.6217364e+02
   9.2882923e-06   9.6086472e+02
   9.7269336e-06   9.5953913e+02
   1.0186290e-05   9.5820045e+02
   1.0667339e-05   9.5671715e+02
   1.1171107e-05   9.5509077e+02
   1.1698664e-05   9.5339948e+02
   1.2251136e-05   9.5164137e+02
   1.2829698e-05   9.4981455e+02
   1.3435583e-05   9.4791715e+02
   1.4070081e-05   9.4594736e+02
   1.4734543e-05   9.4390343e+02
   1.5430385e-05   9.4178367e+02
   1.6159088e-05   9.3958652e+02
   1.6922204e-05   9.3731050e+02
   1.7721358e-05   9.3499145e+02
   1.8558252e-05   9.3259533e+02
   1.9434669e-05   9.3010382e+02
   2.0352475e-05   9.2751415e+02
   2.1313625e-05   9.2482356e+02
   2.2320165e-05   9.2202935e+02
   2.3374239e-05   9.1912890e+02
   2.4478092e-05   9.1611966e+02
   2.5634074e-05   9.1299925e+02
   2.6844648e-05   9.0976538e+02
   2.8112392e-05   9.0641598e+02
   2.9440005e-05   9.0294920e+02
   3.0830315e-05   8.9936343e+02
   3.2286282e-05   8.9565738e+02
   3.3811008e-05   8.9183011e+02
   3.5407739e-05   8.8794321e+02
   3.7079876e-05   8.8394356e+02
   3.8830980e-05   8.7979950e+02
   4.0664781e-05   8.7550850e+02
   4.2585183e-05   8.7106836e+02
   4.4596276e-05   8.6647719e+02
   4.6702344e-05   8.6173354e+02
   4.8907871e-05   8.5683641e+02
   5.1217554e-05   8.5178539e+02
   5.3636313e-05   8.4658069e+02
   5.6169298e-05   8.4122326e+02
   5.8821904e-05   8.3571487e+02
   6.1599780e-05   8.3006337e+02
   6.4508841e-05   8.2437925e+02
   6.7555283e-05   8.1850968e+02
   7.0745594e-05   8.1245393e+02
   7.4086568e-05   8.0621199e+02
   7.7585321e-05   7.9978474e+02
   8.1249302e-05   7.9317399e+02
   8.5086316e-05   7.8638270e+02
   8.9104533e-05   7.7941505e+02
   9.3312512e-05   7.7227668e+02
   9.7719213e-05   7.6497484e+02
   1.0233402e-04   7.5751859e+02
   1.0716676e-04   7.4991905e+02
   1.1222774e-04   7.4238634e+02
   1.1752771e-04   7.3465786e+02
   1.2307798e-04   7.2671674e+02
   1.2889036e-04   7.1856768e+02
   1.3497723e-04   7.1021700e+02
   1.4135156e-04   7.0167289e+02
   1.4802691e-04   6.9294565e+02
   1.5501751e-04   6.8404793e+02
   1.6233824e-04   6.7499505e+02
   1.7000470e-04   6.6580531e+02
   1.7803320e-04   6.5650033e+02
   1.8644085e-04   6.4710550e+02
   1.9524556e-04   6.3833175e+02
   2.0446607e-04   6.2978062e+02
   2.1412202e-04   6.2097287e+02
   2.2423397e-04   6.1191061e+02
   2.3482346e-04   6.0259743e+02
   2.4591304e-04   5.9303859e+02
   2.5752633e-04   5.8324127e+02
   2.6968806e-04   5.7321479e+02
   2.8242413e-04   5.6297091e+02
   2.9576167e-04   5.5252411e+02
   3.0972907e-04   5.4189198e+02
   3.2435608e-04   5.3109553e+02
   3.3967386e-04   5.2015966e+02
   3.5571502e-04   5.0911361e+02
   3.7251373e-04   4.9799145e+02
   3.9010576e-04   4.8683266e+02
   4.0852858e-04   4.7568275e+02
   4.2782142e-04   4.6459394e+02
   4.4802537e-04   4.5362594e+02
   4.6918345e-04   4.4320190e+02
   4.9134073e-04   4.3333275e+02
   5.1454439e-04   4.2336962e+02
   5.3884384e-04   4.1334406e+02
   5.6429085e-04   4.0329257e+02
   5.9093959e-04   3.9325718e+02
   6.1884682e-04   3.8328613e+02
   6.4807198e-04   3.7343447e+02
   6.7867731e-04   3.6376492e+02
   7.1072797e-04   3.5454522e+02
   7.4429223e-04   3.4529205e+02
   7.7944158e-04   3.3602157e+02
   8.1625085e-04   3.2677353e+02
   8.5479845e-04   3.1759349e+02
   8.9516647e-04   3.0853346e+02
   9.3744088e-04   2.9965262e+02
   9.8171170e-04   2.9109219e+02
   1.0280732e-03   2.8285030e+02
   1.0766242e-03   2.7460707e+02
   1.1274680e-03   2.6639992e+02
   1.1807128e-03   2.5827169e+02
   1.2364722e-03   2.5027121e+02
   1.2948649e-03   2.4245397e+02
   1.3560151e-03   2.3488287e+02
   1.4200532e-03   2.2777018e+02
   1.4871155e-03   2.2067546e+02
   1.5573448e-03   2.1362775e+02
   1.6308907e-03   2.0666622e+02
   1.7079098e-03   1.9983545e+02
   1.7885662e-03   1.9318603e+02
   1.8730315e-03   1.8677525e+02
   1.9614858e-03   1.8079995e+02
   2.0541173e-03   1.7487284e+02
   2.1511234e-03   1.6899900e+02
   2.2527106e-03   1.6321317e+02
   2.3590953e-03   1.5755482e+02
   2.4705041e-03   1.5206873e+02
   2.5871741e-03   1.4680551e+02
   2.7093539e-03   1.4193880e+02
   2.8373036e-03   1.3713128e+02
   2.9712958e-03   1.3237536e+02
   3.1116158e-03   1.2770040e+02
   3.2585625e-03   1.2313978e+02
   3.4124487e-03   1.1873128e+02
   3.5736022e-03   1.1451763e+02
   3.7423663e-03   1.1065241e+02
   3.9191002e-03   1.0686587e+02
   4.1041805e-03   1.0312326e+02
   4.2980012e-03   9.9448184e+01
   4.5009751e-03   9.5867448e+01
   4.7135345e-03   9.2411409e+01
   4.9361321e-03   8.9114360e+01
   5.1692419e-03   8.6094572e+01
   5.4133603e-03   8.3208583e+01
   5.6690073e-03   8.0355619e+01
   5.9367272e-03   7.7553611e+01
   6.2170903e-03   7.4822916e+01
   6.5106936e-03   7.2186591e+01
   6.8181623e-03   6.9670682e+01
   7.1401513e-03   6.7317056e+01
   7.4773463e-03   6.5204815e+01
   7.8304654e-03   6.3114963e+01
   8.2002606e-03   6.1060364e+01
   8.5875195e-03   5.9055634e+01
   8.9930667e-03   5.7117330e+01
   9.4177660e-03   5.5264164e+01
   9.8625218e-03   5.3517238e+01
   1.0328281e-02   5.1940978e+01
   1.0816036e-02   5.0495049e+01
   1.1326826e-02   4.9071915e+01
   1.1861737e-02   4.7681458e+01
   1.2421910e-02   4.6334878e+01
   1.3008537e-02   4.5044837e+01
   1.3622868e-02   4.3825620e+01
   1.4266210e-02   4.2693309e+01
   1.4939935e-02   4.1697474e+01
   1.5645476e-02   4.0798742e+01
   1.6384336e-02   3.9919993e+01
   1.7158090e-02   3.9068205e+01
   1.7968384e-02   3.8251272e+01
   1.8816944e-02   3.7478098e+01
   1.9705578e-02   3.6758710e+01
   2.0636178e-02   3.6104379e+01
   2.1610725e-02   3.5537639e+01
   2.2631296e-02   3.5068097e+01
   2.3700063e-02   3.4612708e+01
   2.4819303e-02   3.4175654e+01
   2.5991399e-02   3.3761650e+01
   2.7218848e-02   3.3376011e+01
   2.8504263e-02   3.3024707e+01
   2.9850382e-02   3.2714441e+01
   3.1260072e-02   3.2452723e+01
   3.2736335e-02   3.2261625e+01
   3.4282315e-02   3.2095843e+01
   3.5901304e-02   3.1937897e+01
   3.7596750e-02   3.1789672e+01
   3.9372263e-02   3.1653288e+01
   4.1231626e-02   3.1531126e+01
   4.3178797e-02   3.1425854e+01
   4.5217924e-02   3.1340462e+01
   4.7353349e-02   3.1278291e+01
   4.9589620e-02   3.1245524e+01
   5.1931499e-02   3.1223519e+01
   5.4383974e-02   3.1202615e+01
   5.6952268e-02   3.1183069e+01
   5.9641849e-02   3.1165173e+01
   6.2458447e-02   3.1149254e+01
   6.5408059e-02   3.1135678e+01
   6.8496967e-02   3.1124854e+01
   7.1731749e-02   3.1117241e+01
   7.5119295e-02   3.1113350e+01
   7.8666818e-02   3.1113752e+01
   8.2381873e-02   3.1116083e+01
   8.6272373e-02   3.1118160e+01
   9.0346602e-02   3.1120185e+01
   9.4613238e-02   3.1122140e+01
   9.9081366e-02   3.1124006e+01
   1.0376050e-01   3.1125762e+01
   1.0866061e-01   3.1127382e+01
   1.1379213e-01   3.1128840e+01
   1.1916598e-01   3.1130105e+01
   1.2479362e-01   3.1131142e+01
   1.3068702e-01   3.1131913e+01
   1.3685874e-01   3.1132374e+01
   1.4332192e-01   3.1132478e+01
   1.5009033e-01   3.1132171e+01
   1.5717837e-01   3.1131394e+01
   1.6460115e-01   3.1130079e+01
   1.7237447e-01   3.1129478e+01
   1.8051489e-01   3.1129123e+01
   1.8903974e-01   3.1128766e+01
   1.9796718e-01   3.1128406e+01
   2.0731621e-01   3.1128047e+01
   2.1710676e-01   3.1127688e+01
   2.2735967e-01   3.1127332e+01
   2.3809677e-01   3.1126982e+01
   2.4934094e-01   3.1126638e+01
   2.6111611e-01   3.1126305e+01
   2.7344737e-01   3.1125985e+01
   2.8636097e-01   3.1125681e+01
   2.9988442e-01   3.1125397e+01
   3.1404652e-01   3.1125137e+01
