CopyNums, at 5e-6s timepts, 5 trajectories.
1000	1000	1000	1000	1000
975	979	977	970	972
957	955	960	948	958
937	944	944	935	942
923	932	928	917	929
910	918	913	910	912
897	909	906	894	901
880	893	897	887	886
864	882	887	877	877
851	876	880	868	862
841	867	869	851	849
833	851	854	836	834
829	845	848	828	825
817	834	844	823	814
806	821	836	813	805
793	810	822	799	797
790	802	810	787	787
784	791	800	779	778
776	781	782	773	771
765	773	770	760	759
758	761	755	754	749
747	753	743	748	741
747	749	737	741	733
736	743	727	733	722
731	735	726	727	717
724	729	718	719	716
721	720	710	707	713
714	709	701	700	706
710	703	695	698	697
700	694	692	693	691
695	687	685	689	685
691	680	677	681	677
683	676	672	673	671
676	674	665	671	665
669	668	660	667	662
666	660	655	667	655
660	655	650	659	651
655	648	646	653	647
651	640	644	644	641
639	634	643	636	634
629	629	639	631	626
624	625	632	626	617
617	620	628	622	612
610	617	625	618	608
605	609	618	613	600
598	606	609	605	598
595	602	605	601	592
593	595	601	597	590
589	591	599	588	584
587	588	592	584	583
586	580	589	584	582
583	577	583	578	578
578	576	581	575	574
575	569	579	569	571
574	565	577	565	567
571	563	576	561	563
564	561	572	556	559
559	558	564	554	553
557	555	562	553	550
549	551	558	551	545
547	549	556	546	542
545	547	554	541	538
540	542	551	536	536
533	535	543	531	533
530	530	539	524	528
527	527	537	518	522
525	524	534	516	519
523	521	530	512	515
521	518	527	509	513
518	517	525	505	509
516	512	524	502	506
515	508	521	500	504
513	506	516	497	503
507	506	513	496	499
505	502	509	494	497
502	498	505	493	497
500	496	505	488	494
497	495	500	487	494
495	495	496	487	492
493	493	494	484	491
493	487	492	479	490
488	485	490	475	488
486	479	486	474	485
484	478	483	471	480
481	474	482	469	476
479	473	481	467	473
477	468	479	465	467
476	468	477	464	463
472	466	476	461	461
470	465	476	460	460
464	465	472	457	458
463	461	468	454	456
462	459	465	452	452
460	457	463	452	450
458	453	463	450	447
457	450	461	447	445
455	449	457	444	439
454	446	454	442	438
450	446	452	439	435
446	443	449	437	430
442	443	446	437	430
437	440	445	435	430
434	440	443	432	430
430	439	443	428	428
426	438	439	425	428
424	433	437	421	425
421	431	437	420	422
421	429	434	417	421
420	424	431	414	421
416	422	429	414	417
414	420	425	412	416
411	417	424	410	415
409	416	422	410	413
407	414	419	409	413
406	414	418	406	410
404	413	417	406	410
399	412	415	404	410
398	409	414	403	410
396	406	412	401	410
393	405	409	400	405
390	402	408	395	402
389	400	407	394	401
386	400	403	393	396
386	399	401	392	396
385	394	401	392	396
384	393	399	391	396
384	390	398	387	394
379	390	398	385	394
379	388	397	381	393
376	387	396	380	391
375	387	394	380	390
373	386	393	380	388
373	383	392	378	387
373	381	391	377	387
371	378	388	374	385
370	375	388	373	384
369	375	387	371	384
368	374	385	368	382
366	374	381	366	380
366	373	380	365	380
366	373	378	364	378
364	372	378	363	377
363	369	377	363	372
362	369	375	363	371
361	366	373	360	371
357	366	373	359	371
356	363	371	357	369
355	363	370	357	366
354	361	366	356	363
354	361	365	354	363
353	361	362	352	360
350	361	362	349	357
350	360	360	347	356
349	360	357	344	356
348	355	357	344	356
347	353	356	344	356
346	351	356	343	355
343	349	353	343	355
343	349	352	341	354
342	348	351	339	353
340	345	350	337	353
340	343	350	335	352
339	343	349	335	350
338	340	349	335	350
338	340	347	334	350
336	338	347	333	349
335	335	344	331	348
335	334	343	331	345
334	333	343	331	344
331	333	343	328	344
329	332	342	326	343
328	331	341	325	340
326	331	339	325	340
325	329	337	325	340
323	329	336	322	340
323	328	336	321	339
323	326	336	321	339
320	324	335	320	336
319	323	334	320	335
318	322	334	319	334
318	320	334	319	334
317	317	331	318	334
315	313	331	318	334
313	312	328	316	333
313	312	327	314	332
311	311	327	313	331
311	309	327	312	330
307	308	327	312	328
305	308	325	311	327
305	306	324	310	326
305	306	322	309	326
305	306	322	308	326
303	305	321	308	324
303	304	322	308	322
302	302	321	308	321
301	301	320	307	319
301	300	319	307	318
301	298	318	306	317
299	298	315	305	317
296	297	315	303	317
294	297	314	303	316
293	297	313	301	315
292	297	312	301	313
291	297	311	300	311
290	296	311	300	310
290	295	311	299	310
289	295	311	298	310
289	293	308	298	310
289	293	308	296	310
288	291	307	294	309
286	290	307	294	309
283	290	306	294	309
281	290	305	292	307
281	289	304	292	304
278	286	304	292	303
277	286	304	290	303
277	285	302	288	303
276	285	302	288	301
275	284	302	289	301
275	282	301	287	299
274	282	301	287	299
273	282	301	285	299
272	282	300	285	299
272	282	299	284	297
271	282	296	282	297
269	282	296	282	296
268	282	296	282	295
268	282	296	282	294
267	281	296	282	292
267	281	295	281	291
264	280	295	281	291
263	279	295	280	289
262	279	293	280	289
262	279	291	279	288
262	276	291	279	288
260	275	290	279	288
259	274	290	277	288
258	273	289	277	288
258	272	287	276	287
258	272	287	275	286
258	269	286	273	285
257	268	285	273	284
255	268	284	272	283
253	268	282	272	283
253	268	281	270	282
253	267	281	269	280
252	267	281	269	280
251	267	280	269	280
251	267	278	269	280
250	266	277	269	280
250	266	276	269	279
250	266	276	268	279
249	265	275	268	279
248	265	275	268	279
248	265	275	268	278
248	265	274	268	279
248	265	274	268	278
248	265	274	268	276
247	265	273	268	274
246	266	273	268	274
245	266	272	268	274
243	264	271	268	274
241	263	270	268	274
240	263	267	267	274
239	263	265	267	273
239	263	265	267	273
238	262	263	267	272
238	260	263	267	272
238	258	262	266	272
237	258	262	266	271
238	257	262	266	270
238	256	261	266	270
237	255	259	265	270
237	254	258	265	270
237	253	258	263	268
236	253	257	263	268
235	252	256	263	267
235	252	254	263	266
235	252	253	263	266
235	252	251	263	266
235	251	251	263	266
235	248	250	263	266
235	246	249	262	265
234	246	249	262	265
232	246	249	261	265
232	246	248	259	265
231	246	246	259	263
231	246	245	258	263
229	246	244	258	262
229	246	243	257	261
229	245	243	257	261
228	245	242	256	260
227	245	242	255	258
226	245	242	255	258
226	245	242	252	257
226	245	242	252	256
226	244	242	250	256
226	244	242	250	255
226	242	242	249	255
226	241	242	249	254
226	241	241	249	253
226	240	241	249	253
225	239	241	249	253
225	239	241	247	252
225	238	241	246	252
225	238	241	246	252
225	238	240	246	252
224	238	238	245	251
224	236	238	244	250
223	234	237	243	249
222	232	237	242	249
221	230	237	241	248
220	230	237	241	248
220	229	237	241	248
219	227	237	241	247
220	225	238	239	246
219	225	237	239	245
219	224	236	239	244
219	222	236	237	244
218	222	235	236	242
218	222	233	236	242
215	221	232	235	241
214	220	232	235	240
214	220	231	234	239
212	219	231	233	239
212	218	231	233	239
211	218	231	233	239
211	218	231	232	239
211	217	231	232	239
210	217	230	232	239
209	216	229	232	238
209	216	229	232	238
209	215	228	232	238
209	215	228	231	238
209	215	227	230	237
209	215	226	229	237
209	212	225	229	236
208	212	225	229	236
208	211	223	228	235
208	211	223	228	235
207	211	223	228	233
206	211	222	228	232
205	211	222	228	232
205	211	222	227	232
205	211	221	227	232
205	211	221	227	232
205	208	222	228	232
204	207	222	228	230
204	207	222	227	230
204	206	221	227	229
205	206	219	227	229
205	205	219	227	229
204	205	219	227	227
203	205	218	227	227
202	204	218	227	227
201	204	218	226	227
200	204	218	226	226
