"Model: 'Rev2D_ka10_kon3.07::3D sphere, deterministic'"
"Simulation: 'Simulation12' ()"
(SimID_173446765_0_ (PDE Simulation))
"Sim time range (0.0 0.199999999999986) (saved timepoints 4001)"
"Number of variables (14)"
"Variable names","A_PM","B_PM","C_PM","vcRegionVolume","vcRegionArea","vcRegionVolume_cell","vcRegionVolume_extracellular","J_r1","Size_cell","Size_EC","Size_PM","sobj_cell1_extracellular0_size","vobj_cell1_size","vobj_extracellular0_size"

"variable ('A_PM') times (0.0 0.127749999999994) "
,Time
Coordinates,,(roi=('mp0') coord=(X=-5.204170427930421E-18 Y=-0.282 Z=0.0)),(roi=('mp1') coord=(X=0.282 Y=-5.204170427930421E-18 Z=0.0))
,0.0,1000.0,1000.0
,5.0E-5,866.9365394501896,866.9365394501901
,1.0E-4,765.1443091367178,765.1443091367173
,1.5E-4,684.7620922809223,684.7620922809165
,2.0E-4,619.6809019815822,619.680901981586
,2.5E-4,565.9136708886373,565.9136708886298
,3.0E-4,520.7478999936329,520.7478999937032
,3.5E-4,482.27426596374363,482.27426596310266
,4.0E-4,449.1094090382394,449.1094090383373
,4.5E-4,420.22683495994926,420.226834948281
,5.0E-4,394.8483666104854,394.8483666113724
,5.5E-4,372.37392472226225,372.3739247223982
,6.0E-4,352.3328333297084,352.33283333307736
,6.5E-4,334.3509979965001,334.3509980061539
,7.0E-4,318.1273313624414,318.12733136478363
,7.5E-4,303.41664129823243,303.41664130357736
,8.0E-4,290.017306556658,290.0173065611639
,8.5E-4,277.7620113952481,277.7620113895784
,9.0E-4,266.5107531941203,266.51075318368197
,9.5E-4,256.145470059348,256.1454699444156
,0.001,246.56591631362156,246.5659174434189
,0.00105,237.68639122391608,237.6863910947747
,0.0011,229.43326053539806,229.4332605811212
,0.00115,221.742855600455,221.74285392664493
,0.0012,214.55983389099316,214.5598320477042
,0.00125,207.8359029791425,207.83590095653545
,0.0013,201.52868700702095,201.52868586880672
,0.00135,195.60090589845706,195.60090518833042
,0.0014,190.01952604792635,190.01952483454576
,0.00145,184.7553344402802,184.75533386416768
,0.0015,179.7822813208629,179.7822809673852
,0.00155,175.0770497860116,175.07704945040194
,0.0016,170.61878617711608,170.61878593797567
,0.00165,166.38873425773673,166.38873421884793
,0.0017,162.36999234825194,162.36999220842665
,0.00175,158.54728997270786,158.5472898903517
,0.0018,154.90679061971795,154.906790557458
,0.00185,151.43593288707515,151.43593281068834
,0.0019,148.12328092111107,148.12328090523468
,0.00195,144.95840295175498,144.95840285731072
,0.002,141.93176755985314,141.93176756272928
,0.00205,139.03464449423632,139.03464449662303
,0.0021,136.25902286425395,136.2590227929566
,0.00215,133.5975385867168,133.59753847773678
,0.0022,131.04341147008603,131.04341139272282
,0.00225,128.59038782528182,128.59038780066504
,0.0023,126.23268991502415,126.23268990792904
,0.00235,123.96497165212695,123.96497163761131
,0.0024,121.78227931856377,121.78227930735815
,0.00245,119.68001579480125,119.68001578635605
,0.0025,117.65391019168895,117.65391018453981
,0.00255,115.69998835652423,115.69998835361139
,0.0026,113.81454689546344,113.81454689641201
,0.00265,111.99413260801107,111.99413260985857
,0.0027,110.23552083522095,110.23552083525726
,0.00275,108.5356949574922,108.53569495683135
,0.0028,106.89183114894489,106.8918311494804
,0.00285,105.30128434750206,105.30128434658575
,0.0029,103.7615743759838,103.76157437963738
,0.00295,102.2703719964506,102.27037201671085
,0.003,100.82548691913667,100.82548692758408
,0.00305,99.42485819998387,99.42485817966842
,0.0031,98.06654632127223,98.0665463281605
,0.00315,96.74872468617357,96.74872476660394
,0.0032,95.46966953837968,95.46966959369358
,0.00325,94.22775130146034,94.22775123569384
,0.0033,93.02143062245688,93.021430527221
,0.00335,91.84925405250843,91.84925409675532
,0.0034,90.70984605969349,90.70984617482972
,0.00345,89.60190236529365,89.60190231601118
,0.0035,88.52418700876734,88.52418689242423
,0.00355,87.47552896804453,87.47552913979402
,0.0036,86.45481698463979,86.4548172924673
,0.00365,85.46099417198431,85.46099397254586
,0.0037,84.49305538095183,84.49305481906022
,0.00375,83.55004643664068,83.55004643541186
,0.0038,82.631061283921,82.63106185714751
,0.00385,81.7352351322494,81.73523551320328
,0.0039,80.86174285700864,80.86174267839645
,0.00395,80.00979862737299,80.00979814415093
,0.004,79.178654272697,79.17865383343019
,0.00405,78.36759518179102,78.36759481400516
,0.0041,77.57593875216142,77.57593834563907
,0.00415,76.80303284194302,76.803032450733
,0.0042,76.04825423452205,76.04825398987907
,0.00425,75.31100696348062,75.31100686353426
,0.0043,74.59072085865378,74.59072080470989
,0.00435,73.88685010372582,73.88685003590085
,0.0044,73.19887192484622,73.19887185867596
,0.00445,72.52628541131146,72.52628537462436
,0.0045,71.86861040558871,71.86861039200897
,0.00455,71.22538643312171,71.22538642054545
,0.0046,70.59617170627095,70.59617168853116
,0.00465,69.98054218646932,69.98054217258446
,0.0047,69.37809069907668,69.37809069428216
,0.00475,68.7884260983633,68.78842609811988
,0.0048,68.21117248355654,68.21117248266191
,0.00485,67.64596846569746,67.64596846461492
,0.0049,67.09246647704137,67.09246647837693
,0.00495,66.55033211581404,66.5503321195571
,0.005,66.01924352485689,66.0192435291273
,0.00505,65.49889080836556,65.49889081240724
,0.0051,64.98897548226196,64.9889754867378
,0.00515,64.48920995405975,64.48920995934752
,0.0052,63.999317028930605,63.99931703455799
,0.00525,63.519029443570275,63.51902944908951
,0.0053,63.048089425184045,63.048089430670984
,0.00535,62.58624827406768,62.586248279699234
,0.0054,62.13326596695899,62.13326597264459
,0.00544999999999999,61.6889107816372,61.68891078720122
,0.00549999999999999,61.25295894075405,61.25295894617457
,0.00554999999999999,60.825194274252205,60.825194279587016
,0.00559999999999999,60.405407898180286,60.405407903417874
,0.00564999999999999,59.99339791006308,59.99339791514584
,0.00569999999999999,59.588969388901546,59.58896939374903
,0.00574999999999999,59.191933259318155,59.19193326398649
,0.00579999999999999,58.802106631424614,58.80210663601239
